ticker,name,category
069500,KODEX 200,한국(지수)
091160,KODEX 반도체,반도체
091180,KODEX 자동차,자동차
102960,KODEX 기계장비,산업인프라
102970,KODEX 증권,금융
117460,KODEX 에너지화학,에너지
117680,KODEX 철강,자원/광산
117700,KODEX 건설,건설
139230,TIGER 200 중공업,산업인프라
140700,KODEX 보험,금융
140710,KODEX 운송,산업인프라
157490,TIGER 소프트웨어,소프트웨어
161510,PLUS 고배당주,고배당
182480,TIGER 미국MSCI리츠(합성 H),리츠
200030,KODEX 미국S&P500산업재(합성),미국(지수)
203780,TIGER 미국나스닥바이오,바이오
218420,KODEX 미국S&P500에너지(합성),에너지
241180,TIGER 일본니케이225,일본(지수)
245340,TIGER 미국다우존스30,미국(지수)
245350,TIGER 유로스탁스배당30,유럽(지수)
245710,ACE 베트남VN30(합성),베트남(지수)
251350,KODEX MSCI선진국,글로벌(지수)
256750,KODEX 차이나심천ChiNext(합성),중(지수)
266390,KODEX 경기소비재,소비재
266410,KODEX 필수소비재,소비재
266420,KODEX 헬스케어,바이오
289260,TIGER MSCI KOREA ESG리더스,한국(지수)
305720,KODEX 2차전지산업,배터리
315930,KODEX Top5PlusTR,한국(지수)
329670,KODEX TRF7030,한국(지수)
352540,KODEX 일본부동산리츠(H),리츠
365000,TIGER 인터넷TOP10,소프트웨어
371450,TIGER 글로벌클라우드컴퓨팅INDXX,소프트웨어
372330,KODEX 차이나항셍테크,중국(지수)
379800,KODEX 미국S&P500,미국(지수)
379810,KODEX 미국나스닥100,미국(지수)
381170,TIGER 미국테크TOP10 INDXX,미국(지수)
394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),배터리
399580,RISE 글로벌클린에너지,친환경
410870,TIMEFOLIO K컬처액티브,소비재
411860,KIWOOM 독일DAX,유럽(지수)
413220,SOL 차이나태양광CSI(합성),친환경
414780,TIGER 차이나과창판STAR50(합성),중국(지수)
415920,PLUS 글로벌희토류&전략자원생산기업,자원/광산
417450,RISE 글로벌수소경제,친환경
419430,KODEX 차이나2차전지MSCI(합성),배터리
426020,TIMEFOLIO 미국S&P500액티브,미국(지수)
426030,TIMEFOLIO 미국나스닥100액티브,미국(지수)
434730,HANARO 원자력iSelect,에너지
441640,KODEX 미국배당커버드콜액티브,미국(지수)
441800,TIMEFOLIO Korea플러스배당액티브,고배당
442320,RISE 글로벌원자력,에너지
445150,KODEX 친환경조선해운액티브,조선
453630,KODEX 미국S&P500필수소비재,미국(지수)
453640,KODEX 미국S&P500헬스케어,바이오
453650,KODEX 미국S&P500금융,금융
453660,KODEX 미국S&P500경기소비재,미국(지수)
453810,KODEX 인도Nifty50,글로벌(지수)
456250,KODEX 유럽명품TOP10 STOXX,소비재
456600,TIMEFOLIO 글로벌AI인공지능액티브,AI
460960,ACE 글로벌인컴TOP10 SOLACTIVE,고배당
463050,TIMEFOLIO K바이오액티브,바이오
463640,KODEX 미국S&P500유틸리티,미국(지수)
463680,KODEX 미국S&P500테크놀로지,미국(지수)
463690,KODEX 미국S&P500커뮤니케이션,미국(지수)
465670,TIGER 미국캐시카우100,미국(지수)
466920,SOL 조선TOP3플러스,조선
466940,TIGER 은행고배당플러스TOP10,고배당
468380,KODEX iShares미국하이일드액티브,채권
473460,KODEX 미국서학개미,미국(지수)
473640,HANARO 글로벌금채굴기업,자원/광산
474800,KIWOOM 미국원유에너지기업,에너지
475050,ACE KPOP포커스,소비재
475070,KoAct 글로벌친환경전력인프라액티브,친환경
475350,RISE 버크셔포트폴리오TOP10,금융
475380,RISE 글로벌리얼티인컴,리츠
476690,TIGER 글로벌비만치료제TOP2Plus,바이오
477730,KODEX 인도타타그룹,글로벌(지수)
479730,TIGER 인도빌리언컨슈머,소비재
487230,KODEX 미국AI전력핵심인프라,AI
487240,KODEX AI전력핵심설비,AI
487920,ACE 인도시장대표BIG5그룹액티브,글로벌(지수)
488480,RISE 일본섹터TOP4Plus,일본(지수)
495060,TIMEFOLIO 코리아밸류업액티브,한국(지수)
498270,KIWOOM 미국양자컴퓨팅,양자
498860,RISE 코리아금융고배당,고배당
499150,SOL 미국S&P500엔화노출(H),미국(지수)
